"store_id","product_code","product_name","quantity","brand","category","description","product_id"
"53","4104420240315","Joghurt mild","5","alnatura","null","null","1"
"39","4016249238155","Saatenliebe Mohn Avocado","17","Allos","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frucht- und gemüsebasierte Lebensmittel, Brotaufstriche, Fruchtbasierte Lebensmittel, Pflanzliche Brotaufstriche, Gesalzene Aufstriche, Früchte, Tropische Früchte, Avocados, en:Avocado pulp","Bio, Vegetarisch, EU-Öko-Verordnung, Glutenfrei, Vegan, DE-ÖKO-003, Grüner Punkt, Hergestellt in Deutschland","2"
"66","4016249173906","Linsen-Aufstrich Rote Linse Chili","18","Allos","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Hülsenfrüchte und Hülsenfruchtprodukte, Hülsenfrüchte, Samen, Brotaufstriche, Hülsenfruchtsamen, Fertiggerichte, Pflanzliche Brotaufstriche, Gesalzene Aufstriche, Getrockenete Hülsenfrüchte, Linsen, Linsen-Aufstriche, Fertiglinsen","Bio, Vegetarisch, EU-Öko-Verordnung, Glutenfrei, Vegan, DE-ÖKO-003, Hergestellt in Deutschland, DE-021-045","3"
"18","4104420018747","Dinkel Flakes","7","Alnatura","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales en grains, Flocons, Flocons de céréales, Blés, Épeautres, de:Hafer- & Getreideflocken, de:Müsli & Zerealien, en:Groceries","Bio, Végétarien, Bio européen, Agriculture non UE, Végétalien, de:Bio 7 Initiative, en:Bioland, DE-ÖKO-001, Agriculture UE, Agriculture UE/Non UE, en:The Vegan Society","4"
"18","4104420136540","Basis Porridge","9","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Getreide und Kartoffeln, Getreideprodukte, Frühstückscerealien, Haferbrei, en:Bouillies","Bio, Bio 7 Initiative","5"
"85","4061458089616","Backpulver","11","Back Family,Aldi, Aldi Back Family","Lebensmittelzusatzstoff, Backpulver","null","6"
"86","4260655550206","Bio-Aufstrich Paprika pikant","19","Rettergut","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Gewürzmittel, Brotaufstriche, Pflanzliche Brotaufstriche, Gesalzene Aufstriche, Saucen, Dips, en:Vegan vegetable spreads","Bio, Vegetarisch, EU-Öko-Verordnung, Vegan, DE-ÖKO-003, en:Eg-oko-verordnung","7"
"83","4104420242005","Alnatura Leinsamen pflaume und dattel","7","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Samen, Getreideprodukte, Getreidekörner, Leinsamen","Bio","8"
"63","4104420241886","Leinsamen geschrotet","17","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Samen, Getreideprodukte, Getreidekörner, Leinsamen","null","9"
"30","4104420022386","Leinsamen, Geschrotet","1","Alnatura","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Samen, Getreideprodukte, Getreidekörner, Leinsamen","Bio, EU-Öko-Verordnung, en:eg-oko-verordnung","10"
